date,close,open,high,low,volume,symbol
2019-10-28,28.48,28.48,28.48,28.48,2,AIMT
2019-10-28,15.975,15.975,15.975,15.975,45,AINV
2019-10-28,16.34,16.34,16.34,16.34,100,AIQ
2019-10-28,10.88,10.88,10.88,10.88,5,AIRG
2019-10-28,28.061,28.061,28.061,28.061,100,AIRR
2019-10-28,18.96,18.96,18.96,18.96,1,AIRT
2019-10-25,2.45,2.45,2.45,2.45,100,AIRTP
2019-10-23,0.061,0.061,0.061,0.061,100,AIRTW
2019-10-28,89.5663,89.5663,89.5663,89.5663,85,AKAM
2019-10-28,4.02,4.02,4.02,4.02,100,AKBA
2019-10-28,18.55,18.55,18.55,18.55,37,AKCA
2019-10-28,0.40671,0.40671,0.40671,0.40671,10,AKER
2019-10-28,20.555,20.555,20.555,20.555,100,AKRO
2019-10-28,4.74,4.74,4.74,4.74,100,AKRX
2019-10-28,8.38,8.38,8.38,8.38,140,AKTS
2019-10-28,1.83,1.83,1.83,1.83,800,AKTX
2019-10-28,10.27,10.27,10.27,10.27,200,ALAC
2019-10-24,0.249951,0.249951,0.249951,0.249951,5000,ALACR
2019-10-28,0.11,0.11,0.11,0.11,100,ALACW
2019-10-28,18,18,18,18,100,ALBO
2019-10-28,31.66,31.66,31.66,31.66,1,ALCO
2019-10-21,18.88,18.88,18.88,18.88,200,ALDR
2019-10-28,6.08,6.08,6.08,6.08,100,ALDX
2019-10-28,16.19,16.19,16.19,16.19,100,ALEC
2019-10-28,251.54,251.54,251.54,251.54,2,ALGN
2019-10-25,10.18,10.18,10.18,10.18,100,ALGR
2019-10-25,0.22,0.22,0.22,0.22,100,ALGRR
2019-10-28,10.55,10.55,10.55,10.55,2,ALGRU
2019-10-25,0.22,0.22,0.22,0.22,100,ALGRW
2019-10-28,170.515,170.515,170.515,170.515,100,ALGT
2019-10-28,0.3599,0.3599,0.3599,0.3599,400,ALIM
2019-10-28,1.2,1.2,1.2,1.2,16,ALJJ
2019-10-28,19.45,19.45,19.45,19.45,1,ALKS
2019-10-28,74.24,74.24,74.24,74.24,50,ALLK
2019-10-28,28.62,28.62,28.62,28.62,100,ALLO
2019-10-28,7.53,7.53,7.53,7.53,100,ALLT
2019-10-28,5.44,5.44,5.44,5.44,11,ALNA
2019-10-28,90.08,90.08,90.08,90.08,100,ALNY
2019-10-28,15.88,15.88,15.88,15.88,1,ALOT
2019-10-28,3.0401,3.0401,3.0401,3.0401,200,ALPN
2019-10-28,49.1,49.1,49.1,49.1,98,ALRM
2019-10-28,0.465,0.465,0.465,0.465,200,ALRN
2019-10-28,21.25,21.25,21.25,21.25,10,ALRS
2019-10-28,1.64,1.64,1.64,1.64,100,ALSK
2019-10-28,2.02,2.02,2.02,2.02,13,ALT
2019-10-28,2.395,2.395,2.395,2.395,100,ALTM
2019-10-28,36.11,36.11,36.11,36.11,100,ALTR
2019-10-28,14.82,14.82,14.82,14.82,100,ALTY
2019-10-28,106.56,106.56,106.56,106.56,184,ALXN
2019-10-28,2.75,2.75,2.75,2.75,100,ALYA
2019-10-28,13.335,13.335,13.335,13.335,100,AMAG
2019-10-28,17.1,17.1,17.1,17.1,100,AMAL
2019-10-28,57.125,57.125,57.125,57.125,100,AMAT
2019-10-28,53.475,53.475,53.475,53.475,100,AMBA
2019-10-28,20.065,20.065,20.065,20.065,100,AMBC
2019-10-28,9.2,9.2,9.2,9.2,100,AMBCW
2019-10-28,29.4,29.4,29.4,29.4,100,AMCA
2019-10-28,10.05,10.05,10.05,10.05,100,AMCI
2019-10-17,10.33,10.33,10.33,10.33,70,AMCIU
2019-10-18,0.33,0.33,0.33,0.33,9400,AMCIW
2019-10-28,46.77,46.77,46.77,46.77,56,AMCX
2019-10-28,33.745,33.745,33.745,33.745,100,AMD
2019-10-28,134.3,134.3,134.3,134.3,3,AMED
2019-10-28,14.99,14.99,14.99,14.99,100,AMEH
2019-10-28,205.03,205.03,205.03,205.03,100,AMGN
2019-10-28,11.115,11.115,11.115,11.115,200,AMKR
2019-10-28,36.66,36.66,36.66,36.66,2,AMNB
2019-10-28,37.78,37.78,37.78,37.78,100,AMOT
2019-10-28,19.6816,19.6816,19.6816,19.6816,100,AMPH
2019-10-28,14.84,14.84,14.84,14.84,10,AMRB
2019-10-28,0.1363,0.1363,0.1363,0.1363,887,AMRH
2019-10-24,0.069,0.069,0.069,0.069,848,AMRHW
2019-10-28,10.889,10.889,10.889,10.889,8,AMRK
2019-10-28,16.57,16.57,16.57,16.57,100,AMRN
2019-10-28,3.68,3.68,3.68,3.68,91,AMRS
2019-10-28,8.76,8.76,8.76,8.76,100,AMSC
2019-10-28,62.86,62.86,62.86,62.86,100,AMSF
2019-10-28,15.76,15.76,15.76,15.76,33,AMSWA
2019-10-28,19.8,19.8,19.8,19.8,19,AMTB
2019-10-28,14.358,14.358,14.358,14.358,1,AMTBB
2019-10-28,39.16,39.16,39.16,39.16,100,AMTD
2019-10-28,0.9799,0.9799,0.9799,0.9799,46,AMTX
2019-10-28,101.29,101.29,101.29,101.29,7,AMWD
2019-10-28,1777.677,1777.677,1777.677,1777.677,20,AMZN
2019-10-28,38.88,38.88,38.88,38.88,1,ANAB
2019-10-28,119.01,119.01,119.01,119.01,50,ANAT
2019-10-28,2.265,2.265,2.265,2.265,100,ANCN
2019-10-25,10,10,10,10,8700,ANDA
2019-10-18,0.3,0.3,0.3,0.3,3,ANDAR
2019-10-28,10.5,10.5,10.5,10.5,100,ANDAU
2019-10-21,0.2099,0.2099,0.2099,0.2099,101,ANDAW
2019-10-28,18.773,18.773,18.773,18.773,200,ANDE
2019-10-28,7.08,7.08,7.08,7.08,100,ANGI
2019-10-28,14.87,14.87,14.87,14.87,100,ANGO
2019-10-28,70.055,70.055,70.055,70.055,100,ANIK
2019-10-28,78.79,78.79,78.79,78.79,5,ANIP
2019-10-28,3.94,3.94,3.94,3.94,100,ANIX
2019-10-28,223.5458,223.5458,223.5458,223.5458,20,ANSS
2019-10-28,1.1659,1.1659,1.1659,1.1659,1600,ANTE
2019-10-28,1.13,1.13,1.13,1.13,500,ANY
2019-10-28,7.065,7.065,7.065,7.065,100,AOBC
2019-10-28,13.13,13.13,13.13,13.13,100,AOSL
2019-10-28,0.23,0.23,0.23,0.23,300,APDN
2019-10-28,0.0069,0.0069,0.0069,0.0069,6200,APDNW
2019-10-28,22.18,22.18,22.18,22.18,1,APEI
2019-10-28,2.98,2.98,2.98,2.98,26,APEN
2019-10-28,1.0332,1.0332,1.0332,1.0332,500,APEX
2019-10-28,28.83,28.83,28.83,28.83,98,APLS
2019-10-28,17.31,17.31,17.31,17.31,10,APLT
2019-10-28,15.75,15.75,15.75,15.75,19,APM
2019-10-28,37.96,37.96,37.96,37.96,11,APOG
2019-10-28,2.4,2.4,2.4,2.4,33,APOP
2019-10-25,0.113,0.113,0.113,0.113,10498,APOPW
2019-10-28,91.8,91.8,91.8,91.8,100,APPF
2019-10-28,44.28,44.28,44.28,44.28,10,APPN
2019-10-28,7.53,7.53,7.53,7.53,52,APPS
2019-10-28,2.04,2.04,2.04,2.04,100,APTO
2019-10-28,3.23,3.23,3.23,3.23,2,APTX
2019-10-28,0.5943,0.5943,0.5943,0.5943,15,APVO
2019-10-28,1.312,1.312,1.312,1.312,299,APWC
2019-10-28,6.42,6.42,6.42,6.42,100,APYX
2019-10-28,2.3796,2.3796,2.3796,2.3796,1,AQB
2019-10-28,1.6901,1.6901,1.6901,1.6901,313,AQMS
2019-10-28,4.05,4.05,4.05,4.05,1,AQST
2019-10-28,6.48,6.48,6.48,6.48,97,ARAV
2019-10-28,2.89,2.89,2.89,2.89,200,ARAY
2019-10-28,30.73,30.73,30.73,30.73,46,ARCB
2019-10-28,18.475,18.475,18.475,18.475,165,ARCC
2019-10-28,40.65,40.65,40.65,40.65,100,ARCE
2019-10-28,10.9498,10.9498,10.9498,10.9498,122,ARCT
2019-10-28,5.7,5.7,5.7,5.7,120,ARDS
2019-10-28,5,5,5,5,68,ARDX
2019-10-28,0.7003,0.7003,0.7003,0.7003,3,AREC
2019-10-28,0.1168,0.1168,0.1168,0.1168,100,AREX
2019-10-28,114.99,114.99,114.99,114.99,5,ARGX
2019-10-28,20.51,20.51,20.51,20.51,53,ARKR
2019-10-28,12.6,12.6,12.6,12.6,3,ARLP
2019-10-28,49.21,49.21,49.21,49.21,16,ARNA
2019-10-28,34.7,34.7,34.7,34.7,2,AROW
2019-10-28,0.5155,0.5155,0.5155,0.5155,100,ARPO
2019-10-28,9.885,9.885,9.885,9.885,100,ARQL
2019-10-28,2.39,2.39,2.39,2.39,100,ARTL
2019-10-22,0.545,0.545,0.545,0.545,200,ARTLW
2019-10-28,36.84,36.84,36.84,36.84,29,ARTNA
2019-10-28,1.9284,1.9284,1.9284,1.9284,100,ARTW
2019-10-28,2.975,2.975,2.975,2.975,125,ARTX
2019-10-28,20.25,20.25,20.25,20.25,100,ARVN
2019-10-28,39.18,39.18,39.18,39.18,130,ARWR
2019-10-28,10.27,10.27,10.27,10.27,100,ARYA
2019-10-28,10.99,10.99,10.99,10.99,100,ARYAU
2019-10-28,1.5,1.5,1.5,1.5,200,ARYAW
2019-10-28,30.24,30.24,30.24,30.24,100,ASET
2019-10-28,6.78,6.78,6.78,6.78,4,ASFI
2019-10-28,1.6,1.6,1.6,1.6,100,ASLN
2019-10-28,15.44,15.44,15.44,15.44,2,ASMB
2019-10-28,266.16,266.16,266.16,266.16,1,ASML
2019-10-28,0.4859,0.4859,0.4859,0.4859,100,ASNA
2019-10-28,105.06,105.06,105.06,105.06,4,ASND
2019-10-28,17.83,17.83,17.83,17.83,100,ASPS
2019-10-28,6.17,6.17,6.17,6.17,1,ASPU
2019-10-28,0.9818,0.9818,0.9818,0.9818,130,ASRT
2019-10-28,4.15,4.15,4.15,4.15,53,ASRV
2019-10-25,29,29,29,29,100,ASRVP
2019-10-28,1.48,1.48,1.48,1.48,200,ASTC
2019-10-28,33.0201,33.0201,33.0201,33.0201,28,ASTE
2019-10-28,9.07,9.07,9.07,9.07,19,ASUR
2019-10-28,5.6,5.6,5.6,5.6,58,ASYS
2019-10-16,1.89,1.89,1.89,1.89,1,ATAI
2019-10-28,7.7199,7.7199,7.7199,7.7199,47,ATAX
2019-10-28,5.7985,5.7985,5.7985,5.7985,100,ATEC
2019-10-28,38.72,38.72,38.72,38.72,45,ATEX
2019-10-28,1.1494,1.1494,1.1494,1.1494,300,ATHE
2019-10-28,1.315,1.315,1.315,1.315,100,ATHX
2019-10-28,2.74,2.74,2.74,2.74,200,ATIF
2019-10-28,0.97,0.97,0.97,0.97,197,ATIS
2019-10-28,0.113,0.113,0.113,0.113,50,ATISW
2019-10-28,7.91,7.91,7.91,7.91,2,ATLC
2019-10-28,27.81,27.81,27.81,27.81,1,ATLO
2019-10-28,61.695,61.695,61.695,61.695,100,ATNI
2019-10-28,11.14,11.14,11.14,11.14,100,ATNX
2019-10-28,3.92,3.92,3.92,3.92,100,ATOM
2019-10-28,1.73,1.73,1.73,1.73,100,ATOS
2019-10-28,12.24,12.24,12.24,12.24,20,ATRA
2019-10-28,27.015,27.015,27.015,27.015,100,ATRC
